# M/msolar   r[kpc]   logP
1.56872 2.37746 2.96406e-54
1.57094 2.34918 7.66331e-54
1.57286 2.34884 3.56736e-54
1.57058 2.28597 1.5788e-54
1.57371 2.31078 1.84179e-54
1.56991 2.32814 8.43637e-54
1.57033 2.36202 4.65139e-54
1.56704 2.41363 1.88658e-53
1.5704 2.42243 7.5899e-54
1.56546 2.38365 2.59271e-53
1.56001 2.36308 4.10968e-53
1.55733 2.35223 6.39832e-53
1.55577 2.42945 1.12493e-53
1.55623 2.40148 9.43314e-53
1.55054 2.32516 1.15285e-52
1.54253 2.39583 3.87604e-53
1.53856 2.40339 4.88177e-53
1.54269 2.39564 9.90654e-54
1.54119 2.4405 2.41567e-52
1.54061 2.50497 5.56821e-53
1.5413 2.45008 1.25186e-52
1.53922 2.53285 1.6691e-52
1.5403 2.61078 2.32582e-52
1.53528 2.65231 8.86264e-53
1.53806 2.69281 2.39468e-52
1.53677 2.63516 1.86747e-52
1.53346 2.61179 2.71257e-52
1.53492 2.52341 2.21787e-52
1.54068 2.55785 1.19249e-52
1.53944 2.56637 1.20622e-52
1.54173 2.56828 1.51804e-52
1.54463 2.59018 6.36828e-53
1.54122 2.53663 1.38991e-52
1.53907 2.62636 1.76286e-52
1.53549 2.60235 2.20196e-52
1.53422 2.62017 5.05523e-53
1.52944 2.6076 9.40142e-53
1.5322 2.6314 1.99985e-52
1.53161 2.50901 4.56079e-53
1.53216 2.52176 7.23292e-53
1.53052 2.56725 3.46739e-53
1.52974 2.59087 3.76988e-53
1.53153 2.65509 3.24577e-52
1.53203 2.68839 4.07259e-52
1.53291 2.69308 3.30614e-52
1.53087 2.72582 4.97837e-52
1.52484 2.68794 4.25918e-52
1.52306 2.65947 7.65894e-52
1.52263 2.6549 5.99945e-52
1.52549 2.66046 1.7127e-52
1.52509 2.63598 1.18972e-52
1.53006 2.72692 2.09304e-52
1.52951 2.74962 2.89216e-52
1.53004 2.75828 2.26473e-52
1.52886 2.74039 3.21271e-52
1.53213 2.75364 2.15629e-52
1.53177 2.88295 1.79487e-52
1.53149 2.88702 2.41918e-52
1.52799 2.85062 2.12795e-52
1.53038 2.87503 3.22733e-52
1.53321 2.74417 2.73879e-52
1.53171 2.71389 1.39289e-52
1.53473 2.73604 2.03175e-52
1.5356 2.6671 2.22105e-52
1.5381 2.67608 3.8462e-52
1.53742 2.60548 2.92985e-52
1.54064 2.62055 3.09223e-52
1.53919 2.76439 2.27942e-52
1.53631 2.715 3.92889e-52
1.53527 2.74758 8.69965e-52
1.53372 2.71135 6.86708e-52
1.53337 2.6777 5.46595e-52
1.53679 2.63082 3.51113e-54
1.53896 2.63379 9.00909e-54
1.53752 2.61115 3.20692e-52
1.53532 2.69594 5.18574e-52
1.5381 2.59197 1.93678e-52
1.53698 2.64388 2.052e-52
1.53953 2.63944 3.99434e-52
1.54271 2.66186 3.21999e-52
1.53808 2.70472 4.2055e-52
1.54061 2.64592 4.27462e-52
1.54171 2.60061 2.90832e-52
1.54615 2.6253 2.95884e-52
1.54305 2.62818 3.77792e-52
1.54285 2.66962 3.93357e-52
1.54151 2.6815 5.45926e-52
1.54201 2.70868 5.23928e-52
1.5421 2.68336 2.93241e-52
1.54037 2.62179 5.03008e-52
1.54253 2.62276 5.41874e-52
1.54553 2.66288 5.10291e-52
1.54157 2.69276 9.46761e-52
1.54306 2.62314 5.20884e-52
1.54532 2.58864 4.57569e-52
1.54477 2.60286 6.00231e-52
1.54563 2.6365 4.65407e-52
1.54255 2.53504 5.47705e-52
1.54053 2.43456 3.16916e-52
1.54935 2.47893 4.18014e-52
1.5516 2.49763 2.50503e-52
1.55541 2.44433 1.9558e-52
1.55658 2.36018 1.33357e-52
1.5567 2.37088 1.47687e-52
1.55537 2.38294 1.52062e-52
1.55418 2.35739 1.9338e-52
1.55272 2.36541 1.53361e-52
1.55693 2.43574 1.06468e-52
1.55771 2.46194 1.078e-52
1.5583 2.46177 7.48106e-53
1.55771 2.44984 1.10602e-52
1.55949 2.38552 7.74242e-53
1.55972 2.38183 7.82551e-53
1.55896 2.47058 1.104e-52
1.55562 2.42236 1.02807e-52
1.5569 2.43739 6.55636e-53
1.55602 2.46848 1.13025e-52
1.55007 2.57329 1.40344e-52
1.55303 2.60009 9.13046e-53
1.55121 2.67713 1.11854e-52
1.55316 2.70812 1.24267e-52
1.55223 2.69102 5.45818e-53
1.55496 2.70646 7.20483e-53
1.54781 2.74011 1.2116e-52
1.54426 2.77855 2.27776e-52
1.54184 2.8176 2.92854e-52
1.54297 2.70948 1.98155e-52
1.54201 2.68701 1.21513e-52
1.53943 2.58682 2.16296e-52
1.53956 2.53727 2.49892e-52
1.53632 2.54514 3.2771e-52
1.54077 2.5577 1.053e-52
1.53581 2.52416 2.04052e-52
1.539 2.6698 7.30724e-53
1.54209 2.66455 1.04114e-52
1.54248 2.67627 2.12502e-52
1.53875 2.70976 9.90462e-53
1.5367 2.69383 9.4364e-54
1.53469 2.79483 4.65069e-54
1.53576 2.86627 6.30995e-54
1.54242 2.93691 8.94015e-54
1.53714 2.90003 2.32661e-52
1.53565 2.7982 2.1189e-52
1.53275 2.8335 1.88149e-52
1.53217 2.87481 3.38153e-52
1.53381 2.85188 2.32973e-52
1.53037 2.8894 5.23405e-52
1.52897 2.91908 6.52481e-52
1.52575 2.92076 7.00214e-52
1.52846 2.88578 1.53008e-51
1.52284 2.8111 2.57995e-51
1.52608 2.74969 1.61911e-51
1.52171 2.70533 1.72537e-51
1.52164 2.73127 2.13738e-51
1.52055 2.76144 1.33954e-51
1.52188 2.71932 1.86293e-51
1.52459 2.77827 1.22771e-51
1.52422 2.67073 3.7058e-51
1.52209 2.69762 3.44745e-51
1.52275 2.66129 3.27285e-51
1.51963 2.56868 3.59117e-51
1.52113 2.54385 3.78951e-51
1.52148 2.56601 2.31912e-51
1.52078 2.55332 5.75794e-51
1.5199 2.61091 5.02566e-51
1.51729 2.62892 1.74967e-51
1.51971 2.60096 2.04555e-51
1.51657 2.56226 5.74508e-51
1.51497 2.63117 5.0922e-51
1.51611 2.59401 6.08763e-51
1.52018 2.63191 1.19483e-51
1.51587 2.69466 2.22773e-51
1.51215 2.75995 3.41104e-52
1.51891 2.80497 2.56403e-51
1.51601 2.76018 4.29007e-51
1.51782 2.8083 3.56669e-51
1.52081 2.80114 3.25169e-51
1.52086 2.78833 3.90599e-51
1.52641 2.71254 2.1664e-51
1.52727 2.74199 1.32057e-51
1.52519 2.73115 2.33344e-51
1.52185 2.71251 4.53937e-51
1.52692 2.62039 1.75367e-51
1.52658 2.62858 9.46014e-52
1.52172 2.68199 2.53064e-53
1.52346 2.65476 1.53029e-52
1.51989 2.72593 6.03143e-53
1.52521 2.78101 2.9596e-51
1.52157 2.87755 5.32976e-51
1.52106 2.95008 3.75065e-51
1.52257 2.9592 3.13126e-51
1.51892 2.95713 6.3614e-52
1.51681 2.95808 2.38211e-51
1.51479 2.96139 2.23601e-51
1.51298 3.00397 3.60578e-51
1.5148 3.08363 3.34845e-51
1.51235 3.13107 4.33996e-51
1.51113 3.14411 4.74614e-51
1.50968 3.27831 9.97799e-52
1.50606 3.1548 3.95354e-51
1.50821 3.04432 8.28939e-51
1.50727 3.04496 3.30585e-51
1.50479 3.00927 4.89321e-51
1.50793 3.08103 4.00512e-51
1.51074 3.12827 1.91652e-51
1.5064 3.20147 7.79585e-52
1.50504 3.23946 1.79957e-51
1.50586 3.18193 1.27397e-51
1.5062 3.19959 1.39504e-51
1.50791 3.17352 9.14687e-52
1.50772 3.12068 1.76449e-51
1.50666 3.08181 2.11588e-51
1.50712 3.13854 3.66157e-51
1.50593 3.06521 1.33791e-51
1.50711 3.05784 3.59501e-51
1.50559 3.11894 4.20243e-51
1.50067 3.07256 4.32018e-51
1.50494 3.05934 6.71307e-51
1.50673 3.16268 3.99021e-51
1.50827 3.16268 5.42384e-51
1.50525 3.09146 4.06192e-51
1.50259 3.1062 1.54142e-51
1.50649 3.14877 3.67714e-51
1.50788 3.17131 3.30543e-51
1.51076 3.13921 2.51578e-51
1.51146 3.17718 1.92315e-51
1.51494 3.13506 1.37544e-51
1.51226 3.11631 1.60394e-51
1.51299 3.09989 2.45062e-51
1.51397 3.13969 4.30844e-52
1.51295 3.04761 2.71395e-51
1.51629 3.15663 1.68099e-51
1.51075 3.0722 5.13277e-51
1.50985 3.08107 9.49728e-52
1.50895 3.09475 1.06866e-51
1.51228 3.07537 2.98067e-51
1.50859 3.02842 3.61815e-51
1.50611 3.03309 4.45177e-51
1.50625 2.99848 7.85376e-51
1.50148 3.01455 1.31657e-51
1.50418 3.00503 1.92956e-51
1.50861 2.98577 5.08739e-51
1.51142 2.97813 6.90367e-51
1.51293 2.94332 1.27614e-50
1.5147 2.98594 1.924e-50
1.51681 2.98737 1.54786e-50
1.51836 3.04089 1.9836e-50
1.52037 3.06916 1.42672e-50
1.52333 3.04861 1.44067e-50
1.52696 3.0653 9.91444e-51
1.52514 3.066 6.4939e-52
1.52348 3.03717 2.1266e-51
1.52237 2.99601 5.35704e-51
1.51897 3.0003 6.23148e-51
1.52278 3.0242 1.50138e-50
1.52377 3.03845 2.7681e-50
1.52083 3.09302 3.88328e-50
1.51959 3.05775 3.34386e-50
1.51802 3.09866 4.71837e-50
1.51558 3.0745 3.80751e-50
1.518 2.99124 1.48697e-50
1.51111 2.98863 7.49187e-50
1.50995 3.06366 1.20604e-50
1.51082 3.11447 7.43012e-50
1.50919 3.16969 7.41554e-50
1.50788 3.22342 1.1581e-49
1.50817 3.24324 3.3378e-50
1.50817 3.2215 9.91989e-50
1.51243 3.129 1.12879e-49
1.51152 3.17582 6.67858e-50
1.51154 3.21701 7.89626e-50
1.51362 3.2427 5.73677e-50
1.51333 3.28511 4.78952e-50
1.51657 3.29599 6.0087e-50
1.5155 3.35003 7.1342e-50
1.51599 3.25675 7.50901e-50
1.51336 3.21504 1.23885e-49
1.51527 3.10769 1.50035e-49
1.51471 3.17506 1.78076e-49
1.514 3.16325 1.19656e-49
1.51794 3.11232 4.94703e-50
1.51565 3.06765 7.63228e-50
1.51514 3.1111 6.85529e-50
1.51748 3.09425 4.53731e-50
1.5198 3.11116 9.35788e-50
1.5176 3.0503 3.17876e-50
1.51911 3.09043 7.20386e-50
1.52149 3.05795 5.61329e-50
1.5183 3.03255 7.10295e-50
1.51571 3.12407 4.75728e-50
1.51132 3.1885 5.21777e-50
1.5114 3.19647 1.18732e-49
1.51236 3.22925 1.51785e-49
1.50983 3.29876 5.25471e-50
1.50687 3.30911 4.29718e-50
1.50523 3.37328 2.87159e-49
1.50104 3.35237 3.74442e-49
1.50009 3.39777 4.52962e-49
1.50228 3.28992 3.18586e-49
1.50476 3.25641 4.86017e-49
1.50825 3.27723 3.8796e-49
1.50563 3.23871 5.49814e-49
1.50442 3.22478 1.65732e-49
1.50759 3.23213 1.38955e-49
1.50358 3.17894 5.24731e-49
1.50675 3.15806 3.6676e-49
1.50665 3.00842 5.0839e-49
1.50676 2.95505 4.59085e-49
1.51251 2.88541 1.68707e-49
1.51567 2.8142 2.31524e-49
1.51308 2.87216 3.47086e-49
1.51095 2.83131 4.06584e-49
1.5137 2.83246 2.68871e-49
1.50985 2.88946 5.78259e-50
1.50715 2.88494 2.72304e-49
1.50612 2.9479 2.95609e-49
1.51297 2.84963 3.08251e-49
1.51216 2.89312 4.8042e-50
1.50565 2.90797 6.31789e-49
1.50474 2.87425 1.04155e-48
1.5006 2.90534 1.35004e-48
1.50201 2.97056 1.21642e-48
1.50338 2.97617 1.23845e-48
1.49955 2.97303 1.08393e-48
1.49973 2.96651 1.24344e-48
1.5023 2.91331 1.73086e-48
1.50361 2.99473 1.52626e-48
1.50508 2.96643 1.64224e-48
1.50002 3.04216 1.67002e-48
1.49969 3.09025 1.63163e-48
1.50211 3.07843 1.64353e-48
1.50256 2.96999 2.64831e-48
1.5031 3.0486 2.03074e-48
1.49993 3.02039 1.52982e-48
1.50589 2.93122 4.73403e-49
1.50511 2.92428 7.7017e-49
1.50535 2.87235 2.07078e-48
1.50447 2.82186 1.60709e-48
1.49908 2.83656 2.60715e-48
1.50349 2.82088 1.76387e-48
1.50511 2.85758 1.76978e-48
1.50763 2.89014 1.4267e-48
1.50824 2.915 1.9068e-48
1.51156 3.00852 6.56434e-49
1.51355 2.97732 1.31586e-48
1.51554 2.98569 1.43187e-48
1.5196 3.05319 1.57197e-48
1.52203 3.04119 1.15109e-48
1.52376 3.03931 1.08985e-48
1.52194 3.08335 1.06444e-48
1.52162 3.10341 1.54075e-48
1.52574 3.05905 3.40546e-49
1.52556 2.989 7.24303e-49
1.5264 3.0239 5.6091e-49
1.53169 3.07378 5.1824e-49
1.53746 2.92486 1.03726e-49
1.5352 2.95775 3.92872e-49
1.53905 3.01267 5.4217e-50
1.54006 3.11358 1.72406e-49
1.5378 3.03771 2.0545e-49
1.54002 3.09471 4.19957e-49
1.53971 3.06359 4.43981e-49
1.53898 3.02251 1.97746e-49
1.54022 2.98781 3.34411e-49
1.54099 2.95229 2.1552e-49
1.55097 2.94017 4.6058e-51
1.54713 2.97338 9.06687e-50
1.54654 3.01032 9.59428e-50
1.54798 3.05991 3.65192e-50
1.5478 3.00829 1.10125e-49
1.54959 2.96963 7.31199e-50
1.54923 3.07455 9.86497e-50
1.54719 3.11419 6.33171e-50
1.54591 3.08189 1.63491e-49
1.54646 3.08151 1.66502e-49
1.54864 3.17605 5.42246e-50
1.55277 3.19516 1.12677e-49
1.55004 3.31232 1.74606e-49
1.55184 3.23571 1.75218e-49
1.55326 3.18214 1.40024e-49
1.55452 3.25652 1.85662e-49
1.55618 3.25608 6.52837e-50
1.55353 3.19446 9.17225e-50
1.55005 3.17039 6.18256e-50
1.55234 3.2026 1.35939e-49
1.55261 3.09069 3.54841e-50
1.55786 3.11458 2.37168e-50
1.55433 3.14696 1.60398e-50
1.55237 3.08019 6.43864e-50
1.55485 3.09572 8.02525e-50
1.55422 3.04672 6.16393e-50
1.55401 3.10869 9.57765e-50
1.55253 3.14057 1.61408e-49
1.55298 3.18495 1.71748e-49
1.55361 3.14458 1.42978e-49
1.55651 3.25677 1.21572e-49
